timestamp,date,time,weekday,rank,summary,distance_km,duration_min,traffic_min,delay_min
2026-05-08T07:12:46.645169,2026-05-08,07:12,Friday,2,S Spencer St,12.65,19.9,19.8,-0.1
2026-05-08T07:12:46.645169,2026-05-08,07:12,Friday,3,S Eastern Ave,13.07,23.1,21.4,-1.8
2026-05-08T07:17:47.255717,2026-05-08,07:17,Friday,1,S Spencer St,12.65,19.9,19.5,-0.4
2026-05-08T07:17:47.255717,2026-05-08,07:17,Friday,2,S Maryland Pkwy,13.1,19.8,19.6,-0.3
2026-05-08T07:17:47.255717,2026-05-08,07:17,Friday,3,S Eastern Ave,13.56,22.9,21.2,-1.8
2026-05-08T07:22:47.744804,2026-05-08,07:22,Friday,1,S Maryland Pkwy,13.1,19.8,19.7,-0.1
2026-05-08T07:22:47.744804,2026-05-08,07:22,Friday,2,S Spencer St,12.65,19.9,19.8,-0.1
2026-05-08T07:22:47.744804,2026-05-08,07:22,Friday,3,S Eastern Ave,13.07,23.1,21.8,-1.4
2026-05-08T07:27:48.294840,2026-05-08,07:27,Friday,1,S Spencer St,12.65,19.9,19.7,-0.2
2026-05-08T07:27:48.294840,2026-05-08,07:27,Friday,2,S Maryland Pkwy,13.1,19.8,19.7,-0.1
2026-05-08T07:27:48.294840,2026-05-08,07:27,Friday,3,S Eastern Ave,13.07,23.1,22.1,-1.1
2026-05-08T07:32:48.729312,2026-05-08,07:32,Friday,1,S Spencer St,12.65,19.9,19.9,-0.0
2026-05-08T07:32:48.729312,2026-05-08,07:32,Friday,2,S Maryland Pkwy,13.1,19.8,20.0,0.2
2026-05-08T07:32:48.729312,2026-05-08,07:32,Friday,3,S Eastern Ave,13.07,23.1,22.3,-0.8
2026-05-08T07:37:49.314094,2026-05-08,07:37,Friday,1,S Spencer St,12.65,19.9,20.1,0.3
2026-05-08T07:37:49.314094,2026-05-08,07:37,Friday,2,S Maryland Pkwy,13.1,19.8,20.3,0.5
2026-05-08T07:37:49.314094,2026-05-08,07:37,Friday,3,S Eastern Ave,13.07,23.1,22.4,-0.7
2026-05-08T07:42:49.825009,2026-05-08,07:42,Friday,1,S Spencer St,12.65,19.9,20.1,0.2
2026-05-08T07:42:49.825009,2026-05-08,07:42,Friday,2,S Maryland Pkwy,13.1,19.8,20.4,0.6
2026-05-08T07:42:49.825009,2026-05-08,07:42,Friday,3,S Eastern Ave,13.07,23.1,22.7,-0.5
2026-05-08T07:47:50.401176,2026-05-08,07:47,Friday,1,S Spencer St,12.65,19.9,20.4,0.5
